"CustomerID","Genre","Age","Income","Spending","Cluster","ClusterLabel"
1,"Male",19,15,39,2,"Adultos con alto ingreso y bajo gasto"
2,"Male",21,15,81,2,"Adultos con alto ingreso y bajo gasto"
3,"Female",20,16,6,5,"Jóvenes con alto ingreso y gasto muy alto"
4,"Female",23,16,77,2,"Adultos con alto ingreso y bajo gasto"
5,"Female",31,17,40,2,"Adultos con alto ingreso y bajo gasto"
6,"Female",22,17,76,2,"Adultos con alto ingreso y bajo gasto"
7,"Female",35,18,6,5,"Jóvenes con alto ingreso y gasto muy alto"
8,"Female",23,18,94,2,"Adultos con alto ingreso y bajo gasto"
9,"Male",64,19,3,5,"Jóvenes con alto ingreso y gasto muy alto"
10,"Female",30,19,72,2,"Adultos con alto ingreso y bajo gasto"
11,"Male",67,19,14,5,"Jóvenes con alto ingreso y gasto muy alto"
12,"Female",35,19,99,2,"Adultos con alto ingreso y bajo gasto"
13,"Female",58,20,15,5,"Jóvenes con alto ingreso y gasto muy alto"
14,"Female",24,20,77,2,"Adultos con alto ingreso y bajo gasto"
15,"Male",37,20,13,5,"Jóvenes con alto ingreso y gasto muy alto"
16,"Male",22,20,79,2,"Adultos con alto ingreso y bajo gasto"
17,"Female",35,21,35,5,"Jóvenes con alto ingreso y gasto muy alto"
18,"Male",20,21,66,2,"Adultos con alto ingreso y bajo gasto"
19,"Male",52,23,29,5,"Jóvenes con alto ingreso y gasto muy alto"
20,"Female",35,23,98,2,"Adultos con alto ingreso y bajo gasto"
21,"Male",35,24,35,5,"Jóvenes con alto ingreso y gasto muy alto"
22,"Male",25,24,73,2,"Adultos con alto ingreso y bajo gasto"
23,"Female",46,25,5,5,"Jóvenes con alto ingreso y gasto muy alto"
24,"Male",31,25,73,2,"Adultos con alto ingreso y bajo gasto"
25,"Female",54,28,14,5,"Jóvenes con alto ingreso y gasto muy alto"
26,"Male",29,28,82,2,"Adultos con alto ingreso y bajo gasto"
27,"Female",45,28,32,5,"Jóvenes con alto ingreso y gasto muy alto"
28,"Male",35,28,61,2,"Adultos con alto ingreso y bajo gasto"
29,"Female",40,29,31,5,"Jóvenes con alto ingreso y gasto muy alto"
30,"Female",23,29,87,2,"Adultos con alto ingreso y bajo gasto"
31,"Male",60,30,4,5,"Jóvenes con alto ingreso y gasto muy alto"
32,"Female",21,30,73,2,"Adultos con alto ingreso y bajo gasto"
33,"Male",53,33,4,5,"Jóvenes con alto ingreso y gasto muy alto"
34,"Male",18,33,92,2,"Adultos con alto ingreso y bajo gasto"
35,"Female",49,33,14,5,"Jóvenes con alto ingreso y gasto muy alto"
36,"Female",21,33,81,2,"Adultos con alto ingreso y bajo gasto"
37,"Female",42,34,17,5,"Jóvenes con alto ingreso y gasto muy alto"
38,"Female",30,34,73,2,"Adultos con alto ingreso y bajo gasto"
39,"Female",36,37,26,5,"Jóvenes con alto ingreso y gasto muy alto"
40,"Female",20,37,75,2,"Adultos con alto ingreso y bajo gasto"
41,"Female",65,38,35,4,"Adultos mayores con gasto medio-alto"
42,"Male",24,38,92,2,"Adultos con alto ingreso y bajo gasto"
43,"Male",48,39,36,5,"Jóvenes con alto ingreso y gasto muy alto"
44,"Female",31,39,61,2,"Adultos con alto ingreso y bajo gasto"
45,"Female",49,39,28,5,"Jóvenes con alto ingreso y gasto muy alto"
46,"Female",24,39,65,2,"Adultos con alto ingreso y bajo gasto"
47,"Female",50,40,55,4,"Adultos mayores con gasto medio-alto"
48,"Female",27,40,47,2,"Adultos con alto ingreso y bajo gasto"
49,"Female",29,40,42,2,"Adultos con alto ingreso y bajo gasto"
50,"Female",31,40,42,2,"Adultos con alto ingreso y bajo gasto"
51,"Female",49,42,52,4,"Adultos mayores con gasto medio-alto"
52,"Male",33,42,60,2,"Adultos con alto ingreso y bajo gasto"
53,"Female",31,43,54,2,"Adultos con alto ingreso y bajo gasto"
54,"Male",59,43,60,4,"Adultos mayores con gasto medio-alto"
55,"Female",50,43,45,4,"Adultos mayores con gasto medio-alto"
56,"Male",47,43,41,4,"Adultos mayores con gasto medio-alto"
57,"Female",51,44,50,4,"Adultos mayores con gasto medio-alto"
58,"Male",69,44,46,4,"Adultos mayores con gasto medio-alto"
59,"Female",27,46,51,2,"Adultos con alto ingreso y bajo gasto"
60,"Male",53,46,46,4,"Adultos mayores con gasto medio-alto"
61,"Male",70,46,56,4,"Adultos mayores con gasto medio-alto"
62,"Male",19,46,55,2,"Adultos con alto ingreso y bajo gasto"
63,"Female",67,47,52,4,"Adultos mayores con gasto medio-alto"
64,"Female",54,47,59,4,"Adultos mayores con gasto medio-alto"
65,"Male",63,48,51,4,"Adultos mayores con gasto medio-alto"
66,"Male",18,48,59,2,"Adultos con alto ingreso y bajo gasto"
67,"Female",43,48,50,4,"Adultos mayores con gasto medio-alto"
68,"Female",68,48,48,4,"Adultos mayores con gasto medio-alto"
69,"Male",19,48,59,2,"Adultos con alto ingreso y bajo gasto"
70,"Female",32,48,47,2,"Adultos con alto ingreso y bajo gasto"
71,"Male",70,49,55,4,"Adultos mayores con gasto medio-alto"
72,"Female",47,49,42,4,"Adultos mayores con gasto medio-alto"
73,"Female",60,50,49,4,"Adultos mayores con gasto medio-alto"
74,"Female",60,50,56,4,"Adultos mayores con gasto medio-alto"
75,"Male",59,54,47,4,"Adultos mayores con gasto medio-alto"
76,"Male",26,54,54,2,"Adultos con alto ingreso y bajo gasto"
77,"Female",45,54,53,4,"Adultos mayores con gasto medio-alto"
